name_english,name_arabic,calories,protein (g),fat (g),carbohydrates (g),recipe_english,recipe_arabic,food_type,serving_size_english,serving_size_arabic,bread_suggestion_english,bread_suggestion_arabic,tags,Column1,_1,meal,Column2,_2,Column3,_3
Whole Wheat French Toast with Berries and Yogurt (2 slices),توست فرنسي قمح كامل بالتوت والزبادي (2 شريحة),420,15,15,60,Whole wheat French toast (2 slices) served with berries (30g) and Greek yogurt (50g).,توست فرنسي قمح كامل (2 شريحة) يقدم مع التوت (30 جرام) والزبادي اليوناني (50 جرام).,american,2 slices French toast + toppings,2 شريحة توست فرنسي + الإضافات,Already includes bread (French toast),يحتوي بالفعل على خبز (توست فرنسي),"vegetarian,moderate-protein,moderate-fat,high-carb,breakfast",,,breakfast,,,,
Whole Wheat Bagel with Smoked Salmon and Cream Cheese (1 bagel),خبز البيغل بالقمح الكامل مع السلمون المدخن والجبن الكريمي (1 بيغل),450,20,25,35,Toasted whole wheat bagel (1 medium) with cream cheese (30g) and smoked salmon (50g).,خبز البيغل المصنوع من القمح الكامل المحمص (1 متوسط) مع الجبن الكريمي (30 جرام) والسلمون المدخن (50 جرام).,american,1 bagel serving,1 وجبة بيغل,Already includes bread (bagel),يحتوي بالفعل على خبز (بيغل),"high-protein,high-fat,moderate-carb,breakfast",,,breakfast,,,,
Egg and Cheese Breakfast Wrap (1 wrap),لفائف إفطار بالبيض والجبن (1 لفافة),400,20,20,35,"Whole wheat tortilla (1 large) filled with scrambled eggs (2), cheese (30g), and spinach (30g).",تورتيلا قمح كامل (1 كبير) محشوة بالبيض المخفوق (2) والجبن (30 جرام) والسبانخ (30 جرام).,american,1 wrap serving,1 وجبة لفافة,No bread suggested,لا يقترح خبز,"vegetarian,high-protein,moderate-fat,moderate-carb,breakfast",,,breakfast,,,,
High-Protein Pancakes (3 pancakes),بان كيك عالي البروتين (3 بان كيك),400,30,12,40,"Protein pancakes (3 medium) made with protein powder (30g), whole wheat flour, and milk. Served with fruit (optional).",بان كيك بروتين (3 متوسط) مصنوع من مسحوق البروتين (30 جرام) ودقيق القمح الكامل والحليب. تقدم مع الفاكهة (اختياري).,american,3 pancakes,3 بان كيك,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,moderate-carb,breakfast",,,breakfast,,,,
Greek Yogurt with Granola and Fruit (350g),زبادي يوناني بالجرانولا والفواكه (350 جرام),380,22,15,40,Greek yogurt (250g) topped with granola (50g) and mixed fruits (50g).,زبادي يوناني (250 جرام) مغطى بالجرانولا (50 جرام) والفواكه المشكلة (50 جرام).,mediterranean/american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,high-protein,moderate-fat,moderate-carb,breakfast,mediterranean",,,breakfast,,,,
Oatmeal with Peanut Butter and Banana (350g),شوفان بزبدة الفول السوداني والموز (350 جرام),400,15,18,50,Cooked oatmeal (250g) with peanut butter (2 tbsp) and sliced banana (1 medium).,شوفان مطبوخ (250 جرام) بزبدة الفول السوداني (2 ملعقة كبيرة) والموز المقطع (1 متوسط).,american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,high-carb,breakfast",,,breakfast,,,,
High-Protein Egg and Cheese Toast (2 slices),توست بالبيض والجبن عالي البروتين (2 شريحة),380,25,20,20,Whole wheat toast (2 slices) topped with scrambled eggs (2) and cheese (30g).,توست قمح كامل (2 شريحة) مغطى بالبيض المخفوق (2) والجبن (30 جرام).,american,2 slices toast + toppings,2 شريحة توست + الإضافات,Already includes bread (toast),يحتوي بالفعل على خبز (توست),"high-protein,moderate-fat,moderate-carb,breakfast",,,breakfast,,,,
Steak and Egg Breakfast Burrito (1 burrito),بوريتو إفطار بالستيك والبيض (1 بوريتو),600,50,35,40,"Large whole wheat tortilla (80g) filled with steak strips (100g), scrambled eggs (2), cheese (30g), and salsa (30g).",تورتيلا قمح كامل كبيرة (80 جرام) محشوة بشرائح الستيك (100 جرام) والبيض المخفوق (2) والجبن (30 جرام) والصلصة (30 جرام).,mexican/american,1 burrito,1 بوريتو,No bread suggested,لا يقترح خبز,"high-protein,high-fat,moderate-carb,breakfast,mexican,keto-friendly",,,breakfast,,,,
Tofu Scramble with Vegetables and Avocado (350g),توفو مخفوق بالخضروات والأفوكادو (350 جرام),350,20,20,20,"Tofu scramble (200g tofu) with mixed vegetables (100g peppers, onions, mushrooms) and avocado (50g).","توفو مخفوق (200 جرام توفو) مع خضروات مشكلة (100 جرام فلفل، بصل، فطر) وأفوكادو (50 جرام).",vegan,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegan,vegetarian,high-protein,moderate-fat,moderate-carb,breakfast",,,breakfast,,,,
High-Protein Cottage Cheese Pancakes (2 pancakes),بان كيك جبن قريش عالي البروتين (2 بان كيك),320,30,8,30,"Cottage cheese pancakes (2 medium) made with cottage cheese (150g), eggs, and flour. Served with fruit (optional).",بان كيك جبن قريش (2 متوسط) مصنوع من جبن قريش (150 جرام) والبيض والدقيق. تقدم مع الفاكهة (اختياري).,american,2 pancakes,2 بان كيك,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,moderate-carb,breakfast",,,breakfast,,,,
Greek Yogurt Breakfast Bowl (450g),وعاء إفطار زبادي يوناني (450 جرام),450,40,20,30,"Large breakfast bowl with Greek yogurt (300g), protein granola (50g), mixed berries (50g), and nuts (50g almonds).",وعاء إفطار كبير بالزبادي اليوناني (300 جرام) وجرانولا بروتين (50 جرام) وتوت مشكل (50 جرام) ومكسرات (50 جرام لوز).,american/mediterranean,450g bowl,450 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,high-protein,moderate-fat,moderate-carb,breakfast,mediterranean",,,breakfast,,,,
Chicken and Veggie Omelette (1 omelette),أومليت دجاج وخضروات (1 أومليت),350,28,25,8,"Omelette (2 eggs) filled with cooked chicken breast (50g) and mixed vegetables (50g peppers, onions, mushrooms).","أومليت (2 بيضة) محشو بصدور دجاج مطبوخة (50 جرام) وخضروات مشكلة (50 جرام فلفل، بصل، فطر).",american,1 omelette,1 أومليت,No bread suggested,لا يقترح خبز,"high-protein,high-fat,low-carb,breakfast",,,breakfast,,,,
Salmon and Eggs Benedict (1 serving),بيض بنديكت بالسلمون (1 وجبة),550,30,40,20,"Eggs Benedict with smoked salmon instead of ham, served on whole wheat English muffin (1 muffin) with hollandaise sauce.","بيض بنديكت بالسلمون المدخن بدلاً من لحم الخنزير، يقدم على مافن إنجليزي من القمح الكامل (1 مافن) مع صلصة هولنديز.",american/french,1 serving,1 وجبة,Already includes bread (English muffin),يحتوي بالفعل على خبز (مافن إنجليزي),"high-protein,high-fat,moderate-carb,breakfast,french",,,breakfast,,,,
Breakfast Crepes with Spinach and Feta (2 crepes),كريب إفطار بالسبانخ والفيتا (2 كريب),400,18,20,35,"Two whole wheat crepes filled with spinach (50g), feta cheese (40g), and eggs (scrambled egg mixture).",اثنان من الكريب القمح الكامل محشوة بالسبانخ (50 جرام) وجبن فيتا (40 جرام) والبيض (مزيج البيض المخفوق).,french,2 crepes,2 كريب,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,french",,,breakfast,,,,
Breakfast Empanadas with Chicken and Cheese (2 empanadas),إمباناداس إفطار بالدجاج والجبن (2 إمباناداس),500,25,30,35,"Two whole wheat empanadas filled with shredded chicken (80g), cheese (30g), and vegetables (onions, peppers). Baked or air-fried.","اثنان من الإمباناداس القمح الكامل محشوة بالدجاج المفروم (80 جرام) والجبن (30 جرام) والخضروات (بصل، فلفل). مخبوزة أو مقلية بالهواء.",latin_american,2 empanadas,2 إمباناداس,No bread suggested,لا يقترح خبز,"moderate-protein,moderate-fat,moderate-carb,breakfast,latin_american",,,breakfast,,,,
Breakfast Quiche Lorraine (1 slice),كيش لورين إفطار (1 شريحة),450,22,35,15,"Slice of quiche lorraine (classic quiche - approx. 150g) with egg custard, bacon (50g), onions, and cheese (Gruyere). Whole wheat crust.",شريحة من كيش لورين (كيش كلاسيكي - حوالي 150 جرام) مع كاسترد البيض ولحم الخنزير المقدد (50 جرام) والبصل والجبن (جرويير). قشرة قمح كامل.,french,1 slice quiche lorraine,1 شريحة كيش لورين,No bread suggested,لا يقترح خبز,"moderate-protein,high-fat,moderate-carb,breakfast,french",,,breakfast,,,,
Breakfast Strata with Ham and Cheese (1 slice),ستراتا إفطار بالهام والجبن (1 شريحة),420,20,25,30,"Slice of breakfast strata with whole wheat bread, eggs, ham (50g), cheese (30g), and milk. Baked casserole style.",شريحة من ستراتا الإفطار بالخبز القمح الكامل والبيض ولحم الخنزير (50 جرام) والجبن (30 جرام) والحليب. خزفي مخبوز.,american,1 slice strata,1 شريحة ستراتا,No bread suggested,لا يقترح خبز,"moderate-protein,moderate-fat,moderate-carb,breakfast,casserole",,,breakfast,,,,
Breakfast Bowls with Sausage and Gravy (400g),أوعية إفطار بالنقانق والمرق (400 جرام),500,25,35,30,Breakfast bowl with sausage gravy (200g - made with sausage and milk gravy) over biscuits (2 biscuits - approx. 100g) and topped with a fried egg (1).,وعاء إفطار بمرق النقانق (200 جرام - مصنوع من النقانق ومرق الحليب) فوق البسكويت (2 بسكويت - حوالي 100 جرام) ومغطى ببيض مقلي (1).,american,400g bowl,400 جرام للوجبة,Already includes bread (biscuits),يحتوي بالفعل على خبز (بسكويت),"moderate-protein,high-fat,moderate-carb,breakfast,bowl",,,breakfast,,,,
Breakfast Hash with Corned Beef and Potatoes (380g),هاش إفطار باللحم البقري المحفوظ والبطاطس (380 جرام),350,28,15,35,"Breakfast hash with corned beef (100g), potatoes (150g), onions (50g), and peppers (50g). Sautéed until browned.",هاش إفطار باللحم البقري المحفوظ (100 جرام) والبطاطس (150 جرام) والبصل (50 جرام) والفلفل (50 جرام). مقلي حتى يصبح لونها بنياً.,american,380g serving,380 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,moderate-carb,breakfast,hash",,,breakfast,,,,
Breakfast Skillet with Ham and Potatoes (420g),مقلاة إفطار بالهام والبطاطس (420 جرام),480,25,30,35,"Breakfast skillet with diced ham (80g), diced potatoes (150g), onions (50g), peppers (50g), and topped with scrambled eggs (2).",مقلاة إفطار بالهام المقطع (80 جرام) والبطاطس المقطعة (150 جرام) والبصل (50 جرام) والفلفل (50 جرام) ومغطاة بالبيض المخفوق (2).,american,420g skillet,420 جرام مقلاة,No bread suggested,لا يقترح خبز,"moderate-protein,high-fat,moderate-carb,breakfast,skillet",,,breakfast,,,,
Breakfast Casserole with Ham and Cheese (1 cup),طاجن إفطار بالهام والجبن (1 كوب),450,28,32,20,"Breakfast casserole (1 cup) with eggs, ham (80g), cheese (cheddar - 30g), and bread cubes. Baked until golden.",طاجن إفطار (1 كوب) مع البيض والهام (80 جرام) والجبن (شيدر - 30 جرام) ومكعبات الخبز. مخبوز حتى يصبح لونها ذهبياً.,american,1 cup casserole,1 كوب طاجن,No bread suggested,لا يقترح خبز,"moderate-protein,high-fat,moderate-carb,breakfast,casserole",,,breakfast,,,,
Breakfast Muffins (Meat and Cheese - 2 muffins),مافن إفطار (لحوم وجبن - 2 مافن),400,20,25,20,"Savory breakfast muffins (2 muffins) with whole wheat flour, eggs, cheese (20g), and meat (ham, sausage - 50g). Baked until golden.","مافن إفطار مالح (2 مافن) بدقيق القمح الكامل والبيض والجبن (20 جرام) واللحوم (هام، نقانق - 50 جرام). مخبوز حتى يصبح لونها ذهبياً.",american,2 muffins,2 مافن,No bread suggested,لا يقترح خبز,"moderate-protein,high-fat,moderate-carb,breakfast,muffin",,,breakfast,,,,
Breakfast Scones (Cheese and Herb - 1 scone),سكون إفطار (جبن وأعشاب - 1 سكون),350,9,18,35,"Cheese and herb breakfast scone (1 scone) made with whole wheat flour, cheese (cheddar), and herbs (chives, dill).","سكون إفطار بالجبن والأعشاب (1 سكون) مصنوع من دقيق القمح الكامل والجبن (شيدر) والأعشاب (بصل أخضر، شبت).",british/american,1 scone,1 سكون,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,scone",,,breakfast,,,,
Breakfast Biscuits with Sausage Gravy (2 biscuits),بسكويت إفطار مع مرق النقانق (2 بسكويت),500,15,30,40,Two breakfast biscuits served with sausage gravy (1/2 cup).,اثنان من بسكويت الإفطار يقدم مع مرق النقانق (نصف كوب).,american,2 biscuits + gravy,2 بسكويت + مرق,Already includes bread (biscuits),يحتوي بالفعل على خبز (بسكويت),"moderate-protein,high-fat,high-carb,breakfast,biscuit",,,breakfast,,,,
Breakfast Rolls with Cinnamon and Sugar (1 roll),لفائف إفطار بالقرفة والسكر (1 لفة),350,5,15,50,Breakfast roll (1 roll) with cinnamon and sugar glaze.,لفة إفطار (1 لفة) بطلاء القرفة والسكر.,american,1 roll,1 لفة,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,moderate-fat,high-carb,breakfast,roll,sweet",,,breakfast,,,,
Breakfast Danish with Cream Cheese Filling (1 pastry),دانماركي إفطار بحشوة الجبن الكريمي (1 معجنات),450,5,25,50,Breakfast danish pastry (1 pastry) with cream cheese filling and fruit topping.,معجنات دانماركية للإفطار (1 معجنات) بحشوة الجبن الكريمي وتغطية الفاكهة.,danish,1 pastry,1 معجنات,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,high-carb,breakfast,danish",,,breakfast,,,,
Breakfast Croissant with Ham and Cheese (1 croissant),كرواسون إفطار بالهام والجبن (1 كرواسون),450,15,25,35,Croissant (1 croissant) filled with ham (50g) and cheese (30g).,كرواسون (1 كرواسون) محشو بالهام (50 جرام) والجبن (30 جرام).,french,1 croissant,1 كرواسون,No bread suggested,لا يقترح خبز,"moderate-protein,high-fat,moderate-carb,breakfast,croissant,french",,,breakfast,,,,
Breakfast Samosas with Meat (2 samosas),سمبوسة إفطار باللحوم (2 سمبوسة),400,12,20,35,"Two baked or air-fried breakfast samosas filled with minced meat (beef or lamb), peas, and spices.",اثنان من سمبوسة الإفطار المخبوزة أو المقلية بالهواء محشوة باللحم المفروم (لحم بقري أو ضأن) والبازلاء والتوابل.,indian,2 samosas,2 سمبوسة,No bread suggested,لا يقترح خبز,"moderate-protein,moderate-fat,moderate-carb,breakfast,indian",,,breakfast,,,,
Breakfast Spring Rolls with Shrimp (2 rolls),لفائف الربيع للإفطار بالجمبري (2 لفافة),350,10,18,30,"Two fresh breakfast spring rolls filled with vegetables, shrimp (50g), and herbs. Served with peanut dipping sauce.",اثنان من لفائف الربيع الطازجة للإفطار محشوة بالخضروات والجمبري (50 جرام) والأعشاب. تقدم مع صلصة غمس الفول السوداني.,vietnamese,2 spring rolls,2 لفافة ربيع,No bread suggested,لا يقترح خبز,"moderate-protein,moderate-fat,moderate-carb,breakfast,vietnamese",,,breakfast,,,,
Breakfast Dumplings (Pan-Fried - 4 dumplings),زلابية إفطار (مقلية - 4 زلابية),380,10,18,40,Four pan-fried breakfast dumplings filled with pork and vegetables. Served with soy sauce.,أربعة زلابية إفطار مقلية محشوة بلحم الخنزير والخضروات. تقدم مع صلصة الصويا.,asian,4 dumplings,4 زلابية,No bread suggested,لا يقترح خبز,"moderate-protein,moderate-fat,moderate-carb,breakfast,asian",,,breakfast,,,,
Breakfast Congee (Pork - 1 bowl),كونجي إفطار (لحم خنزير - 1 وعاء),300,18,8,35,"Bowl of pork congee (rice porridge) with shredded pork, ginger, and green onions.",وعاء من كونجي لحم الخنزير (عصيدة الأرز) مع لحم خنزير مبشور وزنجبيل وبصل أخضر.,asian,1 bowl congee,1 وعاء كونجي,No bread suggested,لا يقترح خبز,"moderate-protein,low-fat,moderate-carb,breakfast,asian,soup",,,breakfast,,,,
Breakfast Miso Soup (with Salmon - 1 bowl),حساء ميسو للإفطار (مع سلمون - 1 وعاء),180,12,8,8,"Bowl of miso soup with flaked salmon (50g), tofu, and seaweed.",وعاء من حساء ميسو مع سلمون مقشر (50 جرام) وتوفو وأعشاب بحرية.,japanese,1 bowl miso soup,1 وعاء حساء ميسو,No bread suggested,لا يقترح خبز,"moderate-protein,moderate-fat,low-carb,breakfast,japanese,soup",,,breakfast,,,,
Breakfast Noodle Soup (Beef - 1 bowl),حساء نودلز للإفطار (لحم بقري - 1 وعاء),420,30,12,50,"Bowl of beef noodle soup with rice noodles, beef slices (50g), and vegetables (bok choy, bean sprouts).","وعاء من حساء نودلز اللحم البقري مع نودلز الأرز وشرائح اللحم البقري (50 جرام) والخضروات (بوك تشوي، براعم الفول).",asian,1 bowl noodle soup,1 وعاء حساء نودلز,No bread suggested,لا يقترح خبز,"moderate-protein,low-fat,moderate-carb,breakfast,asian,soup",,,breakfast,,,,
Breakfast Fried Rice (Chicken - 1 cup),أرز مقلي للإفطار (دجاج - 1 كوب),380,10,12,50,"Cup of chicken fried rice with diced chicken (50g), mixed vegetables, and egg.",كوب من الأرز المقلي بالدجاج مع دجاج مقطع (50 جرام) وخضروات مشكلة وبيض.,asian,1 cup fried rice,1 كوب أرز مقلي,No bread suggested,لا يقترح خبز,"moderate-protein,moderate-fat,moderate-carb,breakfast,asian",,,breakfast,,,,
Breakfast Stir-Fry (Shrimp and Vegetables - 1 cup),إفطار سوتيه (جمبري وخضروات - 1 كوب),320,18,15,20,"Cup of shrimp and vegetable stir-fry with shrimp (80g) and mixed vegetables (broccoli, snow peas, carrots).","كوب من سوتيه الجمبري والخضروات بالجمبري (80 جرام) وخضروات مشكلة (بروكلي، بازلاء الثلج، جزر).",asian,1 cup stir-fry,1 كوب سوتيه,No bread suggested,لا يقترح خبز,"moderate-protein,moderate-fat,moderate-carb,breakfast,asian,stir-fry",,,breakfast,,,,
Breakfast Curry (Chicken - 1 cup),كاري إفطار (دجاج - 1 كوب),350,15,20,25,Cup of chicken curry with chicken pieces (80g) in a mild coconut milk based curry sauce.,كوب من كاري الدجاج بقطع الدجاج (80 جرام) في صلصة كاري خفيفة تعتمد على حليب جوز الهند.,indian,1 cup curry,1 كوب كاري,No bread suggested,لا يقترح خبز,"moderate-protein,moderate-fat,moderate-carb,breakfast,indian,curry",,,breakfast,,,,
Breakfast Dosa (Masala Dosa - 1 dosa),دوسة إفطار (ماسالا دوسة - 1 دوسة),350,8,12,50,One masala dosa (South Indian crepe filled with spiced potatoes - approx. 120g).,ماسالا دوسة واحدة (كريب جنوب هندي محشو بالبطاطس المتبلة - حوالي 120 جرام).,indian,1 masala dosa,1 ماسالا دوسة,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,high-carb,breakfast,indian",,,breakfast,,,,
Breakfast Idli Sambar (2 idlis + 1/2 cup sambar),إدلي سامبر إفطار (2 إدلي + نصف كوب سامبر),300,8,5,45,Two idlis served with half cup of sambar (South Indian lentil and vegetable stew).,اثنان إدلي يقدم مع نصف كوب من سامبر (حساء عدس وخضروات من جنوب الهند).,indian,2 idlis + 1/2 cup sambar,2 إدلي + نصف كوب سامبر,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,high-carb,breakfast,indian",,,breakfast,,,,
Breakfast Upma with Vegetables and Nuts (1 cup),أوبما إفطار بالخضروات والمكسرات (1 كوب),280,7,8,40,"Cup of upma with vegetables and topped with nuts (10g cashews, almonds).","كوب من أوبما بالخضروات ومغطى بالمكسرات (10 جرام كاجو، لوز).",indian,1 cup upma,1 كوب أوبما,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,indian",,,breakfast,,,,
Breakfast Poha with Peanuts and Lemon (1 cup),بوها إفطار بالفول السوداني والليمون (1 كوب),250,5,5,45,"Cup of poha with peanuts (10g), onions, potatoes, spices, and lemon juice.",كوب من بوها بالفول السوداني (10 جرام) والبصل والبطاطس والتوابل وعصير الليمون.,indian,1 cup poha,1 كوب بوها,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,high-carb,breakfast,indian",,,breakfast,,,,
Breakfast Paratha with Yogurt (1 paratha + 1/2 cup yogurt),باراثا إفطار بالزبادي (1 باراثا + نصف كوب زبادي),400,10,18,45,One paratha served with half cup of plain yogurt.,باراثا واحد يقدم مع نصف كوب من الزبادي العادي.,indian,1 paratha + 1/2 cup yogurt,1 باراثا + نصف كوب زبادي,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,indian",,,breakfast,,,,
Breakfast Roti with Vegetable Curry (2 rotis + 1/2 cup curry),روتي إفطار بكاري خضروات (2 روتي + نصف كوب كاري),400,10,10,60,Two rotis served with half cup of vegetable curry.,اثنان من روتي يقدم مع نصف كوب من كاري الخضروات.,indian,2 rotis + 1/2 cup curry,2 روتي + نصف كوب كاري,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,high-carb,breakfast,indian",,,breakfast,,,,
Breakfast Chapati with Chana Masala (2 chapatis + 1/2 cup chana masala),تشاباتي إفطار بتشانا ماسالا (2 تشاباتي + نصف كوب تشانا ماسالا),400,10,8,60,Two chapatis served with half cup of chana masala.,اثنان من تشاباتي يقدم مع نصف كوب من تشانا ماسالا.,indian,2 chapatis + 1/2 cup chana masala,2 تشاباتي + نصف كوب تشانا ماسالا,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,high-carb,breakfast,indian",,,breakfast,,,,
Breakfast Aloo Paratha with Yogurt (1 aloo paratha + 1/2 cup yogurt),الو باراثا إفطار بالزبادي (1 الو باراثا + نصف كوب زبادي),450,11,20,50,One aloo paratha served with half cup of plain yogurt.,الو باراثا واحد يقدم مع نصف كوب من الزبادي العادي.,indian,1 aloo paratha + 1/2 cup yogurt,1 الو باراثا + نصف كوب زبادي,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,high-carb,breakfast,indian",,,breakfast,,,,
Breakfast Paneer Paratha with Raita (1 paneer paratha + 1/2 cup raita),بانير باراثا إفطار بالرايتا (1 بانير باراثا + نصف كوب رايتا),480,15,22,45,One paneer paratha served with half cup of raita (yogurt and vegetable dip).,بانير باراثا واحد يقدم مع نصف كوب من الرايتا (غموس زبادي وخضروات).,indian,1 paneer paratha + 1/2 cup raita,1 بانير باراثا + نصف كوب رايتا,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,indian",,,breakfast,,,,
Breakfast Egg Curry with Roti (1 cup curry + 2 rotis),كاري البيض للإفطار مع روتي (1 كوب كاري + 2 روتي),450,20,22,45,Cup of egg curry served with two rotis.,كوب من كاري البيض يقدم مع اثنين من روتي.,indian,1 cup curry + 2 rotis,1 كوب كاري + 2 روتي,Already includes bread (roti),يحتوي بالفعل على خبز (روتي),"moderate-protein,high-fat,moderate-carb,breakfast,indian,curry",,,breakfast,,,,
Breakfast Chana Masala with Bhatura (1 cup chana masala + 1 bhatura),تشانا ماسالا إفطار مع باتورا (1 كوب تشانا ماسالا + 1 باتورا),550,12,30,60,Cup of chana masala served with one bhatura (Indian fried bread).,كوب من تشانا ماسالا يقدم مع واحد باتورا (خبز هندي مقلي).,indian,1 cup chana masala + 1 bhatura,1 كوب تشانا ماسالا + 1 باتورا,Already includes bread (bhatura),يحتوي بالفعل على خبز (باتورا),"vegan,vegetarian,moderate-protein,high-fat,high-carb,breakfast,indian,curry",,,breakfast,,,,
Breakfast Dal Makhani with Rice (1/2 cup dal makhani + 1 cup rice),دال مخاني إفطار مع أرز (نصف كوب دال مخاني + 1 كوب أرز),500,15,28,50,Half cup of dal makhani served with one cup of cooked rice.,نصف كوب من دال مخاني يقدم مع كوب واحد من الأرز المطبوخ.,indian,1/2 cup dal makhani + 1 cup rice,نصف كوب دال مخاني + 1 كوب أرز,Already includes rice,يحتوي بالفعل على أرز,vegetarian,moderate-protein,high-fat,high-carb,breakfast,"indian""",,
Feteer Meshaltet with Honey and Cheese (150g),فطير مشلتت بالعسل والجبن (150 جرام),450,7,25,50,Piece of feteer meshaltet (120g) with honey (1 tbsp) and cheese (20g).,قطعة من فطير مشلتت (120 جرام) مع عسل (1 ملعقة كبيرة) وجبن (20 جرام).,egyptian,150g serving,150 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,high-carb,breakfast,egyptian,pastry",,,breakfast,,,,
Konafa with Nuts (Small Piece - 100g),كنافة بالمكسرات (قطعة صغيرة - 100 جرام),400,6,20,45,Small piece of konafa with nuts (20g) and syrup.,قطعة صغيرة من كنافة بالمكسرات (20 جرام) والشراب.,egyptian,100g piece,100 جرام قطعة,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,high-carb,breakfast,egyptian,pastry,sweet",,,breakfast,,,,
Basbousa with Almonds (Small Piece - 100g),بسبوسة باللوز (قطعة صغيرة - 100 جرام),380,5,18,50,Small piece of basbousa topped with almonds (10g) and syrup.,قطعة صغيرة من بسبوسة مغطاة باللوز (10 جرام) والشراب.,egyptian,100g piece,100 جرام قطعة,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,high-carb,breakfast,egyptian,pastry,sweet",,,breakfast,,,,
Umm Ali with Qeshta (Small Bowl - 200g),أم علي بالقشطة (طبق صغير - 200 جرام),500,6,25,60,Small bowl of umm ali with added qeshta (30g) for extra creaminess.,طبق صغير من أم علي مع قشطة مضافة (30 جرام) لمزيد من القوام الكريمي.,egyptian,200g bowl,200 جرام طبق,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,high-carb,breakfast,egyptian,dessert",,,breakfast,,,,
Rice Pudding with Nuts and Cinnamon (Small Bowl - 200g),أرز باللبن بالمكسرات والقرفة (طبق صغير - 200 جرام),300,5,10,45,Small bowl of rice pudding topped with nuts (10g) and cinnamon.,طبق صغير من أرز باللبن مغطى بالمكسرات (10 جرام) والقرفة.,egyptian,200g bowl,200 جرام طبق,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,moderate-fat,high-carb,breakfast,egyptian,dessert",,,breakfast,,,,
Semolina Halva with Qeshta (Small Portion - 100g),حلاوة سميد بالقشطة (حصة صغيرة - 100 جرام),400,4,18,50,Small portion of semolina halva topped with qeshta (20g).,حصة صغيرة من حلاوة سميد مغطاة بالقشطة (20 جرام).,egyptian,100g portion,100 جرام حصة,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,high-carb,breakfast,egyptian,dessert",,,breakfast,,,,
Qeshta with Baladi Bread and Honey (150g),قشطة مع خبز بلدي وعسل (150 جرام),400,4,25,40,Qeshta (100g) served with baladi bread (50g) and honey (1 tbsp).,قشطة (100 جرام) تقدم مع خبز بلدي (50 جرام) وعسل (1 ملعقة كبيرة).,egyptian,150g serving,150 جرام للوجبة,Already includes bread (Baladi bread),يحتوي بالفعل على خبز (خبز بلدي),"vegetarian,low-protein,high-fat,moderate-carb,breakfast,egyptian,dessert",,,breakfast,,,,
Molokhia Soup with Rabbit (Small Bowl - 250ml),شوربة ملوخية بالأرانب (طبق صغير - 250 مل),250,20,10,10,Small bowl of molokhia soup with rabbit meat (30g) instead of chicken.,طبق صغير من شوربة ملوخية بلحم الأرانب (30 جرام) بدلاً من الدجاج.,egyptian,250ml bowl,250 مل طبق,50g Baladi Bread (optional),50 جرام خبز بلدي (اختياري),"moderate-protein,moderate-fat,low-carb,breakfast,egyptian,soup",,,breakfast,,,,
Besara with Baladi Bread (350g),بصارة مع خبز بلدي (350 جرام),300,12,12,40,Besara (300g) served with baladi bread (50g).,بصارة (300 جرام) تقدم مع خبز بلدي (50 جرام).,egyptian,350g serving,350 جرام للوجبة,Already includes bread (Baladi bread),يحتوي بالفعل على خبز (خبز بلدي),"vegan,vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,egyptian",,,breakfast,,,,
