name_english,name_arabic,calories,protein (g),fat (g),carbohydrates (g),recipe_english,recipe_arabic,food_type,serving_size_english,serving_size_arabic,bread_suggestion_english,bread_suggestion_arabic,tags,meal
Protein Power Salad with Grilled Chicken and Hard-Boiled Egg (American),سلطة قوة البروتين بالدجاج المشوي والبيض المسلوق (أمريكية),450,55,20,10,"Mixed greens salad (200g) with grilled chicken breast (150g), hard-boiled egg (1), avocado (30g), tomatoes, cucumbers, and light vinaigrette.","سلطة خضروات مشكلة (200 جرام) مع صدر دجاج مشوي (150 جرام)، بيضة مسلوقة (1)، أفوكادو (30 جرام)، طماطم، خيار، وصلصة فينيجريت خفيفة.",american,400g serving,400 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,very-low-carb,lunch,salad",american
Chef Salad (High Protein - American),سلطة الشيف (عالية البروتين - أمريكية),420,40,25,15,"Chef salad (400g) with mixed greens, sliced turkey (50g), ham (50g), cheese (30g), hard-boiled egg (1), tomatoes, cucumbers, and ranch dressing (30ml).","سلطة الشيف (400 جرام) مع خضروات مشكلة، شرائح ديك رومي (50 جرام)، لحم خنزير (50 جرام)، جبن (30 جرام)، بيضة مسلوقة (1)، طماطم، خيار، وصلصة رانش (30 مل).",american,400g serving,400 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,very-low-carb,lunch,salad",american
Cobb Salad (High Protein - American),سلطة كوب (عالية البروتين - أمريكية),480,45,30,15,"Cobb salad (400g) with romaine lettuce, grilled chicken breast (100g), bacon (2 slices), avocado (50g), blue cheese (20g), hard-boiled egg (1), tomatoes, and vinaigrette.","سلطة كوب (400 جرام) مع خس روماني، صدر دجاج مشوي (100 جرام)، لحم مقدد (شريحتان)، أفوكادو (50 جرام)، جبن أزرق (20 جرام)، بيضة مسلوقة (1)، طماطم، وصلصة فينيجريت.",american,400g serving,400 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,very-low-carb,lunch,salad",american
Greek Salad with Grilled Chicken (High Protein - American),سلطة يونانية بالدجاج المشوي (عالية البروتين - أمريكية),430,50,25,10,"Greek salad (300g - tomatoes, cucumbers, onions, olives, feta) with grilled chicken breast (150g) and olive oil dressing.","سلطة يونانية (300 جرام - طماطم، خيار، بصل، زيتون، فيتا) مع صدر دجاج مشوي (150 جرام) وصلصة زيت زيتون.",american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,very-low-carb,lunch,salad,mediterranean",american
"Tofu and Vegetable Skewers (High Protein, Vegetarian - American)","أسياخ توفو وخضروات (عالية البروتين، نباتية - أمريكية)",300,25,15,15,"Grilled tofu (150g firm tofu) and vegetable skewers (peppers, onions, zucchini - 100g veggies) marinated in herbs and lemon.","توفو مشوي (150 جرام توفو متماسك) وأسياخ خضروات (فلفل، بصل، كوسة - 100 جرام خضروات) متبلة بالأعشاب والليمون.",american,250g serving,250 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,high-protein,moderate-fat,very-low-carb,lunch,grilled",american
"Halloumi and Vegetable Skewers (High Protein, Vegetarian - American)","أسياخ حلوم وخضروات (عالية البروتين، نباتية - أمريكية)",350,28,20,12,"Grilled halloumi cheese (100g) and vegetable skewers (peppers, onions, zucchini - 150g veggies) with herb marinade.","جبنة حلوم مشوية (100 جرام) وأسياخ خضروات (فلفل، بصل، كوسة - 150 جرام خضروات) مع تتبيلة أعشاب.",american,250g serving,250 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,high-protein,moderate-fat,very-low-carb,lunch,grilled,mediterranean",american
High-Protein Egg Drop Soup (American),شوربة البيض عالية البروتين (أمريكية),200,20,10,5,"Egg drop soup (300ml) made with chicken broth, eggs (2), shredded chicken breast (30g), and spinach.","شوربة البيض (300 مل) مصنوعة من مرقة دجاج، بيض (2)، صدر دجاج مفروم (30 جرام)، وسبانخ.",american,300ml serving,300 مل للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,very-low-carb,lunch,soup",american
Chicken and Cabbage Stir-fry (Keto - American),دجاج وملفوف مقلي (كيتو - أمريكي),380,40,22,8,"Chicken strips (150g) stir-fried with shredded cabbage (200g), onions, and soy sauce.","شرائح دجاج (150 جرام) مقلية مع ملفوف مفروم (200 جرام)، بصل، وصلصة الصويا.",american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"keto,high-protein,moderate-fat,very-low-carb,lunch,stir-fry",american
Beef and Cabbage Stir-fry (Keto - American),لحم بقري وملفوف مقلي (كيتو - أمريكي),420,45,25,7,"Beef strips (150g lean beef) stir-fried with shredded cabbage (200g), onions, and soy sauce.","شرائح لحم بقري (150 جرام لحم بقري قليل الدهن) مقلية مع ملفوف مفروم (200 جرام)، بصل، وصلصة الصويا.",american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"keto,high-protein,high-fat,very-low-carb,lunch,stir-fry",american
Shrimp and Cabbage Stir-fry (Keto - American),روبيان وملفوف مقلي (كيتو - أمريكي),350,35,18,9,"Shrimp (150g) stir-fried with shredded cabbage (200g), garlic, and soy sauce.","روبيان (150 جرام) مقلي مع ملفوف مفروم (200 جرام)، ثوم، وصلصة الصويا.",american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"keto,high-protein,moderate-fat,very-low-carb,lunch,stir-fry",american
Spicy Tuna Cakes with Green Salad (Low Carb - American),كعكات تونة حارة مع سلطة خضراء (قليلة الكربوهيدرات - أمريكية),400,35,25,10,"Spicy tuna cakes (2 cakes - 150g tuna) made with tuna, egg, spices, and almond flour. Served with green salad (150g).",كعكات تونة حارة (2 كعكة - 150 جرام تونة) مصنوعة من التونة والبيض والتوابل ودقيق اللوز. تقدم مع سلطة خضراء (150 جرام).,american,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"low-carb,high-protein,high-fat,very-low-carb,lunch,seafood",american
"Chicken and Broccoli Bowl (High Protein, Low Carb - American)","وعاء دجاج وبروكلي (عالي البروتين، قليل الكربوهيدرات - أمريكي)",400,50,20,5,Grilled chicken breast (180g) served with steamed broccoli (250g).,صدر دجاج مشوي (180 جرام) يقدم مع بروكلي مطبوخ على البخار (250 جرام).,american,430g serving,430 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,very-low-carb,low-fat,lunch,bowl",american
"Steak and Asparagus Bowl (High Protein, Low Carb - American)","وعاء ستيك وهليون (عالي البروتين، قليل الكربوهيدرات - أمريكي)",480,55,30,3,Grilled sirloin steak (180g) served with grilled asparagus (250g).,ستيك سيرلوين مشوي (180 جرام) يقدم مع هليون مشوي (250 جرام).,american,430g serving,430 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,very-low-carb,high-fat,lunch,bowl",american
"Shrimp and Zucchini Bowl (High Protein, Low Carb - American)","وعاء روبيان وكوسة (عالي البروتين، قليل الكربوهيدرات - أمريكي)",350,40,15,7,Grilled shrimp (200g) served over zucchini noodles (200g).,روبيان مشوي (200 جرام) يقدم فوق نودلز الكوسة (200 جرام).,american,400g serving,400 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,very-low-carb,moderate-fat,lunch,bowl,seafood",american
"Tuna Steak with Green Beans (High Protein, Low Carb - American)","ستيك تونة مع فاصوليا خضراء (عالي البروتين، قليل الكربوهيدرات - أمريكي)",420,45,25,4,Grilled tuna steak (150g) served with sautéed green beans (200g) in olive oil.,ستيك تونة مشوي (150 جرام) يقدم مع فاصوليا خضراء مقلية (200 جرام) في زيت الزيتون.,american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,very-low-carb,high-fat,lunch,seafood",american
"Chicken and Spinach Frittata (High Protein, Low Carb - American)","فريتاتا دجاج وسبانخ (عالية البروتين، قليلة الكربوهيدرات - أمريكية)",320,35,18,3,"Slice of chicken and spinach frittata (200g) made with eggs (3), chicken breast (50g), and spinach (70g).","شريحة فريتاتا دجاج وسبانخ (200 جرام) مصنوعة من البيض (3)، صدر دجاج (50 جرام)، وسبانخ (70 جرام).",american,200g serving,200 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,very-low-carb,moderate-fat,lunch",american
High-Protein Chicken Salad (Low Carb - American),سلطة دجاج عالية البروتين (قليلة الكربوهيدرات - أمريكية),300,40,15,2,"Chicken salad (200g) made with grilled chicken breast (150g), celery, light mayo, and herbs.","سلطة دجاج (200 جرام) مصنوعة من صدر دجاج مشوي (150 جرام)، كرفس، مايونيز خفيف، وأعشاب.",american,200g serving,200 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,very-low-carb,moderate-fat,lunch,salad",american
"Egg White Omelette with Turkey and Veggies (High Protein, Low Carb - American)","أومليت بياض البيض مع ديك رومي وخضروات (عالي البروتين، قليل الكربوهيدرات - أمريكي)",280,30,15,4,"Omelette made with egg whites (4 whites), sliced turkey breast (50g), mushrooms (50g), and bell peppers (50g).","أومليت مصنوع من بياض البيض (4 بياض)، شرائح صدر ديك رومي (50 جرام)، فطر (50 جرام)، وفلفل رومي (50 جرام).",american,250g serving,250 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,very-low-carb,moderate-fat,lunch",american
